id,user_id,cat_id,event_date,value,type,created_at,updated_at
124,1,1,"2017-03-19 07:15:00",-2300.00,CASH,"2017-05-12 16:08:11",NULL
125,1,5,"2017-03-19 07:50:00",-2800.00,CASH,"2017-05-12 16:08:11",NULL
126,1,5,"2017-03-19 10:44:00",-2000.00,CASH,"2017-05-12 16:08:11",NULL
127,1,5,"2017-03-19 10:46:00",-1600.00,CASH,"2017-05-12 16:08:11",NULL
128,1,1,"2017-03-19 11:07:00",-2300.00,CASH,"2017-05-12 16:08:11",NULL
129,1,1,"2017-03-19 11:59:00",-6000.00,CASH,"2017-05-12 16:08:11",NULL
130,1,6,"2017-03-19 14:50:00",-20000.00,CASH,"2017-05-12 16:08:11",NULL
131,1,7,"2017-03-19 15:15:00",-8000.00,CASH,"2017-05-12 16:08:11",NULL
132,1,28,"2017-03-19 15:25:00",-3000.00,CASH,"2017-05-12 16:08:11",NULL
133,1,7,"2017-03-19 19:48:00",-8100.00,CASH,"2017-05-12 16:08:11",NULL
134,1,19,"2017-03-19 20:30:00",0.00,CASH,"2017-05-12 16:08:11",NULL
162,1,29,"2017-03-21 19:27:00",-550000.00,CASH,"2017-05-12 16:08:11",NULL
161,1,10,"2017-03-21 19:02:15",-50.00,CASH,"2017-05-12 16:08:11",NULL
160,1,10,"2017-03-21 19:02:00",-28850.00,CASH,"2017-05-12 16:08:11",NULL
159,1,1,"2017-03-21 17:40:00",-2000.00,CASH,"2017-05-12 16:08:11",NULL
158,1,24,"2017-03-21 17:33:00",600000.00,CASH,"2017-05-12 16:08:11",NULL
157,1,6,"2017-03-21 13:53:47",-21000.00,CASH,"2017-05-12 16:08:11",NULL
156,1,4,"2017-03-21 07:41:00",-2700.00,CASH,"2017-05-12 16:08:11",NULL
155,1,1,"2017-03-21 06:58:00",-2400.00,CASH,"2017-05-12 16:08:11",NULL
154,1,8,"2017-03-20 18:40:00",-2300.00,CASH,"2017-05-12 16:08:11",NULL
153,1,1,"2017-03-20 17:43:00",-2000.00,CASH,"2017-05-12 16:08:11",NULL
152,1,24,"2017-03-20 17:32:00",100000.00,CASH,"2017-05-12 16:08:11",NULL
151,1,6,"2017-03-20 14:18:17",-22900.00,CASH,"2017-05-12 16:08:11",NULL
150,1,1,"2017-03-20 07:58:00",-2300.00,CASH,"2017-05-12 16:08:11",NULL
149,1,4,"2017-03-20 07:55:00",-2300.00,CASH,"2017-05-12 16:08:11",NULL
163,1,17,"2017-03-21 21:08:00",-15000.00,CASH,"2017-05-12 16:08:11",NULL
164,1,1,"2017-03-22 07:26:00",-2400.00,CASH,"2017-05-12 16:08:11",NULL
165,1,6,"2017-03-22 13:12:51",-13800.00,CASH,"2017-05-12 16:08:11",NULL
166,1,15,"2017-03-22 13:12:56",100.00,CASH,"2017-05-12 16:08:11",NULL
167,1,3,"2017-03-22 13:47:00",-900.00,CASH,"2017-05-12 16:08:11",NULL
168,1,1,"2017-03-22 18:56:00",-2000.00,CASH,"2017-05-12 16:08:11",NULL
169,1,8,"2017-03-22 19:47:00",-5800.00,CASH,"2017-05-12 16:08:11",NULL
170,1,1,"2017-03-23 08:23:00",-2400.00,CASH,"2017-05-12 16:08:11",NULL
171,1,6,"2017-03-23 13:11:00",-21100.00,CASH,"2017-05-12 16:08:11",NULL
172,1,1,"2017-03-23 17:50:00",-2000.00,CASH,"2017-05-12 16:08:11",NULL
173,1,1,"2017-03-24 07:26:00",-2400.00,CASH,"2017-05-12 16:08:11",NULL
174,1,30,"2017-03-24 11:02:00",4867000.00,DEBIT,"2017-05-12 16:08:11",NULL
175,1,6,"2017-03-24 12:03:11",-22000.00,CASH,"2017-05-12 16:08:11",NULL
176,1,7,"2017-03-24 12:29:45",-9800.00,DEBIT,"2017-05-12 16:08:11",NULL
177,1,1,"2017-03-24 17:33:00",-2000.00,CASH,"2017-05-12 16:08:11",NULL
178,1,24,"2017-03-24 18:26:00",300000.00,CASH,"2017-05-12 16:08:11",NULL
179,1,8,"2017-03-24 18:38:00",-17500.00,CASH,"2017-05-12 16:08:11",NULL
180,1,19,"2017-03-25 07:00:00",-12600.00,CASH,"2017-05-12 16:08:11",NULL
