#,AreaId,City,Area,Status,Id,PlaceId,Name,Rating,Lat,Lng,LatNE,LngNE,LatSW,LngSW
33,1,Medellin,Poblado,OK,bf12dafbef8ddc7a0395675e0b34f8603f7103d5,ChIJz33pvSkoRI4RHbiK-IGJEbQ,Envy Sushi Bar,4,6.2087796,-75.5668921,6.21012398029,-75.5655448697,6.20742601971,-75.5682428303
34,1,Medellin,Poblado,OK,6eb15442692a5d6f5bee642bc51f25a09001cd51,ChIJywXK5CkoRI4REfSaHo6xXCc,La Central Bar,4,6.2082037,-75.5672585,6.20957673029,-75.5659714197,6.20687876971,-75.5686693803
35,1,Medellin,Poblado,OK,5dc8e4871dadc05634865b0c5b4ca23563f54b07,ChIJAa567CkoRI4RKt8qX61DqOM,Chupitos,4.3,6.2082115,-75.5673779,6.20955583029,-75.5660169197,6.20685786971,-75.5687148803
36,1,Medellin,Poblado,OK,07d0a34b1a32565264d7f53a365a9776eea675b5,ChIJz33pvSkoRI4Rp3jsj_c-VNw,Envy rooftop,4.5,6.2088896,-75.567057,6.21023858029,-75.5657080197,6.20754061971,-75.5684059803
37,1,Medellin,Poblado,OK,6ae1ae30f36d1c4f5c07fd906f270ab19dc22ab8,ChIJzyWglCkoRI4RTfYoXPlHe7E,Basilica,3.8,6.2084883,-75.5673259,6.20990923029,-75.5661697197,6.20721126971,-75.5688676803
38,1,Medellin,Poblado,OK,6904f3dd64cc6c024ac4eeaf9f6ec2262b281e3c,ChIJeXm3pikoRI4RQRkGnTuOPGs,BarChiquita,4.7,6.209425,-75.5665628,6.21077878029,-75.5652257697,6.20808081971,-75.5679237303
39,1,Medellin,Poblado,OK,563e15f23291bec4cc16da15c61acee3d9ad82d4,ChIJXTeqpikoRI4RSKjD3927Lis,Jenson's Bar,0,6.209364,-75.566588,6.21071298029,-75.5652390197,6.20801501971,-75.5679369803
40,1,Medellin,Poblado,OK,50ddc35b9c3ff13673341d54d0e04a86c03bd71b,ChIJL2Ky_CkoRI4R1CC4nQz0Tis,Pub Rock Lleras,4.8,6.2074083,-75.5677097,6.20875233029,-75.5663488197,6.20605436971,-75.5690467803
41,1,Medellin,Poblado,OK,10a1b52ccfd51b701715db908ab7f4419c2cef9e,ChIJd9Yl_SkoRI4RY19SKQJNgXU,Pa' Entro Fonda Bar,0,6.2072716,-75.5677531,6.20861993029,-75.5664023697,6.20592196971,-75.5691003303
42,1,Medellin,Poblado,OK,c5a9f2a0ea2694ea8268b2a899de9ab45b336d0c,ChIJ0bOJoikoRI4RyEEFnGeDR28,ADDICT SHOTS,4.5,6.2091972,-75.5669119,6.21055128029,-75.5655608697,6.20785331971,-75.5682588303
